,,维护,提供三个月的免费维护期，不包括优化和非合同需求bug,0,0
费用小计  Subtotal,,,,12,"12,000"
,,,,,
"开发总计
Develop expenses",,,,,
评估项,需求分析,UI / UE设计,安卓端,iOS端,PC后台
所需人天（日）,2,9,13.5,13,12
费用小计（元）,"2,000","9,000","13,500","13,000","12,000"
总开发人天 | Total Manday,,49.5,费用总计 | Total expenses,,"49,500.00"
,,,,,
"售后服务
After-sale service",,,,,
服务项 | Item,服务内容 | Service content,,,,
【日常维护】,"定时检查网站程序漏洞；设置安全防范程序，防范黑客入侵；定时备份资料；定时重启服务器；保证服务器日常运行。	",,,,
【故障维护】,当项目发生重大故障时（如服务器挂掉），上班与非上班时间，我司都会立即派人进行处理，争取最快速度修复故障。如果是普通故障，影响不大，上班时间会进行处理，通常半到一天内可以解决,,,,
【BUG修复】,只包括功能需求内的一些问题，不包括功能的优化，和新加的功能需求,,,,
【咨询服务】,在贵司运营期间遇到的关于该项目方面的问题，都可以向我司电话或网络咨询，我司提供专业人员解答贵司问题。,,,,
PS：如果免费维护期过后，如贵司需要我司继续提供售后服务，需要另外收费。维护费用为：项目总报价的10% ~ 20%/每年,,,,,
,,,,,
人天单价,,,,,
1000,,,,,
