端,功能模块,子功能/页面,子功能/页面描述,开发工作量(天),单价(元/天),费用(元)
微信小程序端,个人中心,佩戴数据(profile/device-manage/wearing-data/index),设备佩戴时长数据展示,3,1000,3000
微信小程序端,个人中心,设备维护(profile/device-manage/maintenance/index),设备维护保养记录,2,1000,2000
微信小程序端,个人中心,意见反馈(profile/device-manage/feedback/index),设备使用意见反馈表单,2,1000,2000
微信小程序端,个人中心,病历管理(profile/medical-records/index),个人电子病历查看,3,1000,3000
微信小程序端,个人中心,会员权益(profile/member-benefits/index),会员等级、积分、优惠权益展示,3,1000,3000
微信小程序端,个人中心,系统通知(profile/notifications/index),系统通知与订阅消息列表,3,1000,3000
微信小程序端,个人中心,在线客服(profile/online-service/index),在线客服咨询入口,2,1000,2000
微信小程序端,个人中心,设置(profile/settings/index),账户设置主页面,2,1000,2000
微信小程序端,个人中心,账号安全(profile/settings/account-security/index),账号安全设置(密码修改等),3,1000,3000
微信小程序端,个人中心,个人信息(profile/settings/personal-info/index),用户基本信息编辑,3,1000,3000
管理后台端,登录页,登录页(login/index),账号密码与短信验证码双登录方式,4,1000,4000
管理后台端,数据看板,仪表盘(dashboard/index),首页核心运营KPI看板、多维度时段过滤、统计图表,6,1000,6000
管理后台端,预约管理,预约列表(appointment/index),全店预约挂号列表、门店/状态过滤,5,1000,5000
管理后台端,预约管理,新建预约(appointment/create),前台手动挂号、查询患者或快捷建档表单,4,1000,4000
管理后台端,预约管理,预约详情(appointment/detail),到诊一键签到及病情主诉展示,4,1000,4000
管理后台端,预约管理,就诊工作台(appointment/workbench),实时就诊叫号、候诊管理,5,1000,5000
管理后台端,预约管理,预约队列(appointment/queue),预约排队管理、叫号队列,4,1000,4000
管理后台端,预约管理,结算(appointment/checkout),就诊结算、费用收取,4,1000,4000
管理后台端,预约管理,电子病历(appointment/emr),门诊电子病历查看与管理,5,1000,5000
管理后台端,患者管理,患者列表(patient/index),患者档案列表、筛选、搜索,4,1000,4000
管理后台端,患者管理,患者详情(patient/detail),患者设备佩戴时长及AHI指标趋势图表、病历时间线、就诊历史,6,1000,6000
管理后台端,患者管理,随访管理(patient/followup),患者随访任务管理,5,1000,5000
管理后台端,医生管理,医生列表(doctor/index),医生档案管理与启用状态设置,4,1000,4000
管理后台端,医生管理,排班管理(doctor/schedule),周排班周历网格展示与弹窗编辑,6,1000,6000
管理后台端,门店管理,门店列表(store/index),门店信息增删改查,4,1000,4000
管理后台端,门店管理,门店报表(store/report),门店营收排行与接诊负荷统计报表,4,1000,4000
管理后台端,订单管理,订单列表(order/index),全网商城购物订单明细列表,4,1000,4000
管理后台端,订单管理,订单详情(order/detail),订单明细、价格组成、分销佣金及物流录入弹窗,5,1000,5000
管理后台端,订单管理,退款审核(order/refund),审核用户商城退款申请,4,1000,4000
管理后台端,分销管理,分销列表(distribution/index),分销商管理列表,4,1000,4000
管理后台端,分销管理,分销商详情(distribution/detail),单个分销商详细信息及业绩,4,1000,4000
管理后台端,分销管理,推广员管理(distribution/promoter),冻结或解封违规分销人员资格,4,1000,4000
管理后台端,分销管理,分销商品(distribution/products),参与分销的商品配置,3,1000,3000
管理后台端,分销管理,提现审核(distribution/withdraw),分销商提现单据列表、弹窗审核通过/驳回,5,1000,5000
管理后台端,内容管理,社区列表(content/index),用户社区发帖列表、审核状态管理,4,1000,4000
管理后台端,内容管理,帖子编辑(content/edit),帖子编辑、审核处理,3,1000,3000
管理后台端,内容管理,Banner管理(content/banner),首页活动轮播Banner图片广告位资源管理,3,1000,3000
管理后台端,系统设置,系统设置首页(settings/index),系统基础配置入口,2,1000,2000
管理后台端,系统设置,管理员管理(settings/admin),添加、修改及注销后台管理员账号,4,1000,4000
管理后台端,系统设置,角色管理(settings/role-edit),系统角色及权限配置矩阵,5,1000,5000
管理后台端,系统设置,权限管理(settings/permission),角色权限资源配置,4,1000,4000
管理后台端,系统设置,操作日志(settings/log),系统全局管理员审计追踪日志表,4,1000,4000
后端服务,用户模块,用户管理模块,用户注册、登录、个人信息管理后台服务,8,1000,8000
后端服务,用户模块,患者管理模块,就诊患者/家庭成员信息管理后台服务,6,1000,6000
后端服务,门店医生模块,门店管理模块,门店信息增删改查后台服务,6,1000,6000
后端服务,门店医生模块,医生管理模块,医生档案、多门店执业关联后台服务,6,1000,6000
后端服务,门店医生模块,排班管理模块,医生出诊排班、号源管理后台服务,8,1000,8000
后端服务,预约模块,预约管理模块,预约创建、取消、改约、状态流转后台服务,10,1000,10000
后端服务,评估模块,评估管理模块,ESS量表、鼾声录音分析后台服务,8,1000,8000
后端服务,治疗模块,治疗管理模块,病历管理、治疗建档、佩戴打卡、参数微调后台服务,12,1000,12000
后端服务,商城模块,商城管理模块,商品管理、订单交易、支付、退款后台服务,12,1000,12000
后端服务,分销模块,分销管理模块,推广员管理、佣金结算、提现审批后台服务,10,1000,10000
后端服务,内容模块,内容管理模块,直播间管理、社区帖子、评论后台服务,8,1000,8000
后端服务,系统模块,系统管理模块,管理员、角色权限、系统设置、日志后台服务,8,1000,8000
后端服务,基础服务,认证服务模块,用户认证(JWT)、权限校验中间件服务,6,1000,6000
后端服务,基础服务,数据服务模块,数据库连接、ORM、数据导出服务,4,1000,4000
后端服务,基础服务,日志服务模块,系统日志、操作审计记录服务,3,1000,3000
后端服务,基础服务,消息服务模块,系统通知、订阅消息推送服务,4,1000,4000
