序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
7,分销中心,分销首页(distribution/center),推广员分销资格及中心入口，展示佣金概览,0.5,"250"
,,邀请海报(distribution/invite),专属裂变码海报生成及分享功能,0.5,"250"
,,佣金明细(distribution/commission),分销提成收益明细查询，按时间筛选,0.5,"250"
,,团队管理(distribution/team),推广团下线成员结构展示，显示一级/二级成员,0.5,"250"
,,分销商品(distribution/products),参与分销的商品列表，显示佣金比例,0.5,"250"
,,分销规则(distribution/rules),分销规则说明页面，展示等级和佣金比例,0.5,"250"
,,提现申请(distribution/withdraw),佣金提现申请，支持微信零钱和银行卡,0.5,"250"
,,提现记录(distribution/withdraw-records),提现打款历史记录查询,0.5,"250"
8,直播模块,直播列表(live/list),科普/义诊直播间列表，含预告及精彩回放,-,-
,,直播回放(live/playback),直播视频回放点播页面,-,-
9,社区模块,社区首页(community/index),社区论坛帖子列表，支持最新/热门/专家贴筛选,0.5,"250"
,,帖子详情(community/detail),帖子正文及评论回复区，支持点赞评论,0.5,"250"
,,发帖(community/publish),发表阻鼾/打鼾改善日常讨论帖子，支持图片上传,0.5,"250"
10,个人中心,个人中心首页(profile/index),用户个人信息展示，功能入口聚合,0.5,"250"
,,家庭成员管理(profile/family-members),就诊患者/家庭成员列表及增删改操作,0.5,"250"
,,添加成员(profile/family-members/add-member),绑定新的就诊家庭成员表单,0.5,"250"
,,设备管理(profile/device-manage),阻鼾器设备管理首页，展示设备状态,0.5,"250"
,,佩戴数据(profile/device-manage/wearing-data),设备佩戴时长数据展示，统计分析,0.5,"250"
,,设备维护(profile/device-manage/maintenance),设备维护保养记录，提醒维护时间,0.5,"250"
,,意见反馈(profile/device-manage/feedback),设备使用意见反馈表单,0.5,"250"
,,病历管理(profile/medical-records),个人电子病历查看，就诊历史记录,0.5,"250"
,,会员权益(profile/member-benefits),会员等级、积分、优惠权益展示,0.5,"250"
,,系统通知(profile/notifications),系统通知与订阅消息列表，支持标记已读,0.5,"250"
,,在线客服(profile/online-service),在线客服咨询入口，跳转客服对话,0.5,"250"
,,设置(profile/settings),账户设置主页面，包含各项设置入口,0.5,"250"
,,账号安全(profile/settings/account-security),账号安全设置，密码修改、绑定手机号等,0.5,"250"
,,个人信息(profile/settings/personal-info),用户基本信息编辑，昵称、头像、性别等,0.5,"250"
11,API对接,|,"1. 设计RESTful API接口，实现业务逻辑和数据处理
2. 数据库设计，设计MySQL数据库表结构
3. 封装API接口和数据模型，通过网络获取后台服务器数据",0.5,"250"
12,测试联调,|,单元测试，集成测试，测试不同设备和网络环境下的运行情况，适配不同手机分辨率，修复测试发现的问题,0.5,"250"
费用小计  Subtotal,,,,25.5,"12,750"

序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,登录页,|,账号密码与短信验证码双登录方式,0.5,"250"
2,数据看板,|,首页核心运营KPI看板、多维度时段过滤、统计图表,0.5,"250"
3,预约管理,预约列表,全店预约挂号列表、门店/状态过滤,0.5,"250"
,,新建预约,前台手动挂号、查询患者或快捷建档表单,0.5,"250"
,,预约详情,到诊一键签到及病情主诉展示,0.5,"250"
,,收银结账,就诊结算、费用收取,0.5,"250"
,,诊疗录入,门诊电子病历录入与管理,0.5,"250"
4,接诊工作台,|,实时就诊叫号、候诊管理,0.5,"250"
5,排队分诊,|,预约排队管理、叫号队列,0.5,"250"
6,患者管理,患者列表,患者档案列表、筛选、搜索,0.5,"250"
,,患者详情,患者设备佩戴时长及AHI指标趋势图表、病历时间线、就诊历史,0.5,"250"
,,随访任务,患者随访任务管理,0.5,"250"
7,医生管理,医生列表,医生档案管理与启用状态设置,0.5,"250"
,,排班管理,周排班周历网格展示与弹窗编辑,0.5,"250"
8,门店管理,门店列表,门店信息增删改查,0.5,"250"
,,门店数据报表,门店营收排行与接诊负荷统计报表,0.5,"250"
9,订单管理,订单列表,全网商城购物订单明细列表,0.5,"250"
,,订单详情,订单明细、价格组成、分销佣金及物流录入弹窗,0.5,"250"
,,退款审核,审核用户商城退款申请,0.5,"250"
10,分销总览,|,分销商管理总览列表,0.5,"250"
11,推广员管理,推广员列表,冻结或解封违规分销人员资格,0.5,"250"
,,推广员详情,单个分销商详细信息及业绩,0.5,"250"
12,提现审核,|,分销商提现单据列表、弹窗审核通过/驳回,0.5,"250"
13,推广商品管理,|,参与分销的商品配置,0.5,"250"
14,科普文章,社区列表,用户社区发帖列表、审核状态管理,0.5,"250"
,,编辑文章,帖子编辑、审核处理,0.5,"250"
,,新建文章,新建科普文章表单,0.5,"250"
15,轮播图管理,|,首页活动轮播Banner图片广告位资源管理,0.5,"250"
16,系统设置,系统设置首页,系统基础配置入口,0.5,"250"
,,管理员账号,添加、修改及注销后台管理员账号,0.5,"250"
17,权限管理,角色列表,系统角色及权限配置矩阵,0.5,"250"
,,角色权限编辑,角色权限资源配置与编辑,0.5,"250"
,,添加角色,新建系统角色表单,0.5,"250"
18,操作日志,|,系统全局管理员审计追踪日志表,0.5,"250"
19,API对接,|,对接后端API接口，封装请求和响应处理,1.0,"500"
20,测试联调,|,单元测试，集成测试，测试不同浏览器兼容性，修复测试发现的问题,0.5,"250"
费用小计  Subtotal,,,,17.5,"8,750"

开发总计
Develop expenses,,,,,
评估项,需求分析,UI / UE设计,微信小程序端,管理后台端
所需人天（日）,1.0,4.0,25.5,17.5
费用小计（元）,"500","2,000","12,750","8,750"
总开发人天 | Total Manday,,48,费用总计 | Total expenses,,"24,000.00"

售后服务
After-sale service,,,,,
服务项 | Item,服务内容 | Service content,,,,
【日常维护】,定时检查系统程序漏洞；设置安全防范程序，防范黑客入侵；定时备份数据；保证服务器日常稳定运行。,,,,
【故障维护】,当项目发生重大故障时（如服务器宕机），上班与非上班时间，我司都会立即派人进行处理，争取最快速度修复故障。如果是普通故障，影响不大，上班时间会进行处理，通常半天到一天内可以解决,,,,
【BUG修复】,只包括合同功能需求内的一些问题，不包括功能的优化和新加的功能需求,,,,
【咨询服务】,在贵司运营期间遇到的关于该项目方面的问题，都可以向我司电话或网络咨询，我司提供专业人员解答贵司问题。,,,,
PS：如果免费维护期过后，如贵司需要我司继续提供售后服务，需要另外收费。维护费用为：项目总报价的10% ~ 20%/每年,,,,,

人天单价,,,,,
500,,,,,
